number of clusters = 1
Cluster 0 (276) : 
0: Input vars: (0x6), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 
144: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

145: Input vars: (0xa), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

146: Input vars: (0xb), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

147: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

148: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

149: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

150: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

151: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

152: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

153: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

154: Input vars: (0xa), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

155: Input vars: 1-to-32Z(0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

156: Input vars: (0x4), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

157: Input vars: (0xc), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

158: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

159: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

160: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

161: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

162: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

