number of clusters = 18
Cluster 0 (54) : 
292: Input vars: 8-to-32Z(0x4), const(0x8000007f), and (0x0) 

Cluster 6 (1) : 
46: Input vars: const(0x0), 1-to-32S(0x0), and (0x0) 

Cluster 7 (5) : 
53: Input vars: (0x3), const(0x76b), and 1-to-32S(0x0) 

123: Input vars: 32-to-32C(0x3), const(0x8000076b), and 1-to-32S(0x0) 

160: Input vars: (0x3), const(0x76b), and 1-to-32S(0x0) 

196: Input vars: (0x3), const(0x76b), and 1-to-32S(0x0) 

250: Input vars: (0x3), const(0x76b), and 1-to-32S(0x0) 

Cluster 8 (1) : 
62: Input vars: const(0x0), 32-to-32C(0x4), and (0x0) 

Cluster 9 (3) : 
72: Input vars: 16-to-32S(0x4), const(0xffffffff), and (0x0) 

201: Input vars: 16-to-32S(0x4), const(0xffffffff), and (0x0) 

202: Input vars: 16-to-32S(0x4), const(0xffffffff), and (0x0) 

Cluster 10 (3) : 
79: Input vars: const(0x0), 8-to-32S(0x0), and (0x0) 

111: Input vars: const(0x0), 8-to-32S(0x0), and (0x0) 

171: Input vars: const(0x0), 8-to-32S(0x0), and (0x0) 

Cluster 11 (3) : 
101: Input vars: 32-to-1(0x4), 1-to-32S(0x4), and (0x0) 

209: Input vars: 32-to-1(0x4), const(0x0), and (0x0) 

244: Input vars: const(0x80000001), 32-to-1(0x4), and 1-to-32Z(0x0) 

Cluster 12 (2) : 
103: Input vars: (0x2), 32-to-32C(0xb), and 1-to-32S(0x0) 

136: Input vars: (0x2), 32-to-32C(0xb), and 1-to-32S(0x0) 

Cluster 13 (1) : 
133: Input vars: 32-to-1(0x0), 32-to-1(0x9), and (0x0) 

Cluster 14 (2) : 
148: Input vars: (0x3), const(0x37fffff), and 1-to-32S(0x0) 

276: Input vars: 32-to-32C(0x3), const(0x837fffff), and 1-to-32S(0x0) 

Cluster 15 (2) : 
262: Input vars: const(0x0), 1-to-32S(0x5), and (0x0) 

282: Input vars: const(0x0), 1-to-32S(0x5), and (0x0) 

Cluster 16 (1) : 
290: Input vars: (0x0), const(0x7fffffff), and (0x0) 

Cluster 17 (1) : 
320: Input vars: const(0xffffcf2c), 32-to-32C(0x5), and 1-to-32S(0x0) 

