number of clusters = 110
Cluster 1 (67) : 
519: Input vars: const(0x0), (0x0), 32-to-32C(0x0), and 32-to-1(0x0) 

562: Input vars: (0x0), const(0x0), 32-to-1(0x0), and (0x0) 

Cluster 20 (1) : 
26: Input vars: const(0x0), (0x8), const(0x0), and (0x0) 

Cluster 21 (4) : 
28: Input vars: (0x1), (0x0), (0x1), and (0x0) 

74: Input vars: (0x1), (0x0), (0x1), and (0x0) 

110: Input vars: (0x0), (0x1), (0x0), and (0x0) 

525: Input vars: (0x0), (0x1), (0x0), and (0x0) 

Cluster 22 (19) : 
30: Input vars: 32-to-32C(0x5), const(0x80000002), const(0x80000001), and 1-to-32Z(0x0) 

81: Input vars: 1-to-32S(0x1), 32-to-1(0x1), const(0x80000003), and 8-to-32S(0x0) 

114: Input vars: const(0x0), 32-to-1(0xc), const(0xffffffff), and 8-to-32Z(0x0) 

122: Input vars: 32-to-32C(0x5), const(0x80000002), const(0x80000001), and 1-to-32Z(0x0) 

123: Input vars: 1-to-32S(0x1), 32-to-1(0x1), const(0x80000003), and 8-to-32Z(0x0) 

133: Input vars: const(0x0), 32-to-1(0xc), const(0x800000ff), and 16-to-32Z(0x0) 

204: Input vars: 1-to-32S(0x5), 32-to-1(0x5), const(0x80000014), and 8-to-32Z(0x0) 

235: Input vars: const(0x0), 32-to-1(0x9), const(0x80000002), and 8-to-32S(0x0) 

247: Input vars: 32-to-1(0x0), const(0x1), 32-to-1(0x9), and (0x0) 

271: Input vars: const(0x0), 32-to-1(0x0), const(0x8000000d), and 8-to-32S(0x0) 

